stock_label,name,close,date,industry_type,open,high,low,unit,per,psr,pbr,volume,market_capitalization,issued_shares,crawl_datetime,code
4441  東証マザーズ,トビラシステムズ,"1,433.0",株価(02/28),業種情報・通信業,"1,504.0円","1,534.0円","1,433.0円",100株,56.13倍,14.93倍,14.64倍,"70,700株","14,649百万円","10,222千株",2020-03-01T18:26:14,4441
4442  東証マザーズ,バルテス,"1,297.0",株価(02/28),業種情報・通信業,"1,350.0円","1,375.0円","1,275.0円",100株,---,2.82倍,---,"128,000株","9,273百万円","7,150千株",2020-03-01T18:26:16,4442
4443  東証マザーズ,Ｓａｎｓａｎ,"4,995.0",株価(02/28),業種情報・通信業,"4,910.0円","5,140.0円","4,830.0円",100株,---,15.23倍,---,"238,100株","155,538百万円","31,138千株",2020-03-01T18:26:18,4443
4444  東証マザーズ,インフォネット,987.0,株価(02/28),業種情報・通信業,"1,018.0円","1,039.0円",969.0円,100株,---,2.25倍,---,"31,000株","1,902百万円","1,927千株",2020-03-01T18:26:20,4444
4445  東証マザーズ,リビン・テクノロジーズ,"1,602.0",株価(02/28),業種情報・通信業,"1,607.0円","1,667.0円","1,601.0円",100株,11.92倍,1.14倍,2.67倍,"10,300株","2,137百万円","1,334千株",2020-03-01T18:26:22,4445
4446  東証マザーズ,Ｌｉｎｋ－Ｕ,"1,580.0",株価(02/28),業種情報・通信業,"1,550.0円","1,685.0円","1,550.0円",100株,73.40倍,19.90倍,14.63倍,"97,100株","21,593百万円","13,666千株",2020-03-01T18:26:23,4446
4447  福証Q,ピー・ビーシステムズ,"1,618.0",株価(02/28),業種情報・通信業,"1,668.0円","1,820.0円","1,570.0円",100株,27.99倍,2.48倍,12.18倍,"76,500株","4,410百万円","2,726千株",2020-03-01T18:26:25,4447
4448  東証マザーズ,Ｃｈａｔｗｏｒｋ,907.0,株価(02/28),業種情報・通信業,969.0円,"1,020.0円",874.0円,100株,533.52倍,18.28倍,22.46倍,"577,800株","33,196百万円","36,600千株",2020-03-01T18:26:27,4448
4449  東証マザーズ,ギフティ,"1,457.0",株価(02/28),業種情報・通信業,"1,457.0円","1,535.0円","1,424.0円",100株,92.50倍,21.57倍,10.79倍,"855,800株","38,120百万円","26,163千株",2020-03-01T18:26:29,4449
4450  東証マザーズ,パワーソリューションズ,"2,265.0",株価(02/28),業種情報・通信業,"2,473.0円","2,490.0円","2,265.0円",100株,11.34倍,1.07倍,1.91倍,"31,700株","3,095百万円","1,366千株",2020-03-01T18:26:31,4450
4475  東証マザーズ,ＨＥＮＮＧＥ,"2,799.0",株価(02/28),業種情報・通信業,"2,852.0円","2,949.0円","2,718.0円",100株,---,12.76倍,---,"222,600株","43,760百万円","15,634千株",2020-03-01T18:26:33,4475
4476  東証マザーズ,ＡＩＣＲＯＳＳ,"1,406.0",株価(02/28),業種情報・通信業,"1,461.0円","1,521.0円","1,404.0円",100株,39.29倍,3.82倍,5.50倍,"315,500株","5,543百万円","3,942千株",2020-03-01T18:26:35,4476
4477  東証マザーズ,ＢＡＳＥ,"1,366.0",株価(02/28),業種情報・通信業,"1,636.0円","1,636.0円","1,366.0円",100株,---,7.24倍,8.83倍,"400,600株","27,886百万円","20,415千株",2020-03-01T18:26:37,4477
4478  東証マザーズ,フリー,"3,395.0",株価(02/28),業種情報・通信業,"3,395.0円","3,550.0円","3,335.0円",100株,---,36.18倍,---,"379,700株","163,419百万円","48,135千株",2020-03-01T18:26:39,4478
4479  東証マザーズ,マクアケ,"3,465.0",株価(02/28),業種情報・通信業,"3,500.0円","3,650.0円","3,415.0円",100株,---,29.25倍,---,"334,300株","39,319百万円","11,347千株",2020-03-01T18:26:40,4479
4480  東証マザーズ,メドレー,"1,636.0",株価(02/28),業種情報・通信業,"1,718.0円","1,788.0円","1,601.0円",100株,---,9.66倍,13.70倍,"1,241,800株","46,048百万円","28,147千株",2020-03-01T18:26:42,4480
4481  東証２部,ベース,"8,560.0",株価(02/28),業種情報・通信業,"8,860.0円","9,150.0円","8,360.0円",100株,19.91倍,2.60倍,4.48倍,"47,100株","25,339百万円","2,960千株",2020-03-01T18:26:44,4481
4482  東証マザーズ,ウィルズ,"3,870.0",株価(02/28),業種情報・通信業,"4,060.0円","4,100.0円","3,790.0円",100株,78.81倍,9.92倍,25.49倍,"59,200株","17,792百万円","4,597千株",2020-03-01T18:26:46,4482
4483  東証マザーズ,ＪＭＤＣ,"4,425.0",株価(02/28),業種情報・通信業,"4,470.0円","4,575.0円","4,200.0円",100株,---,11.42倍,---,"174,600株","114,939百万円","25,975千株",2020-03-01T18:26:47,4483
4484  東証マザーズ,ランサーズ,763.0,株価(02/28),業種情報・通信業,790.0円,820.0円,757.0円,100株,---,4.69倍,---,"176,300株","11,830百万円","15,505千株",2020-03-01T18:26:49,4484
4485  東証マザーズ,ＪＴＯＷＥＲ,"3,915.0",株価(02/28),業種情報・通信業,"3,850.0円","3,980.0円","3,800.0円",100株,---,58.07倍,---,"417,700株","79,972百万円","20,427千株",2020-03-01T18:26:51,4485
4486  東証マザーズ,ユナイトアンドグロウ,"1,691.0",株価(02/28),業種情報・通信業,"1,712.0円","1,782.0円","1,650.0円",100株,18.46倍,1.89倍,2.94倍,"30,000株","3,070百万円","1,815千株",2020-03-01T18:26:53,4486
4487  東証マザーズ,スペースマーケット,802.0,株価(02/28),業種情報・通信業,850.0円,887.0円,802.0円,100株,187.38倍,10.30倍,10.23倍,"490,800株","8,993百万円","11,213千株",2020-03-01T18:26:55,4487
4488  東証マザーズ,ＡＩｉｎｓｉｄｅ,"18,850.0",株価(02/28),業種情報・通信業,"18,910.0円","19,400.0円","18,230.0円",100株,---,154.40倍,---,"38,500株","68,708百万円","3,645千株",2020-03-01T18:26:57,4488
4597  東証マザーズ,ソレイジア・ファーマ,123.0,株価(02/28),業種医薬品,120.0円,130.0円,120.0円,100株,---,10.97倍,2.07倍,"2,834,000株","14,370百万円","116,835千株",2020-03-01T18:26:59,4597
4598  東証マザーズ,Ｄｅｌｔａ－ＦｌｙＰｈａｒｍａ,"1,010.0",株価(02/28),業種医薬品,"1,039.0円","1,090.0円",999.0円,100株,---,---,1.29倍,"74,100株","4,549百万円","4,504千株",2020-03-01T18:27:00,4598
4599  東証マザーズ,ステムリム,525.0,株価(02/28),業種医薬品,528.0円,550.0円,524.0円,100株,---,278.80倍,---,"283,900株","27,880百万円","53,104千株",2020-03-01T18:27:02,4599
4691  東証２部,ワシントンホテル,822.0,株価(02/28),業種サービス業,852.0円,879.0円,819.0円,100株,---,0.46倍,---,"126,000株","10,003百万円","12,170千株",2020-03-01T18:27:04,4691
4880  東証マザーズ,セルソース,"10,020.0",株価(02/28),業種医薬品,"10,050.0円","10,300.0円","9,880.0円",100株,72.74倍,12.38倍,12.42倍,"41,800株","19,959百万円","1,992千株",2020-03-01T18:27:05,4880
4931  東証マザーズ,新日本製薬,"1,066.0",株価(02/28),業種化学,"1,074.0円","1,132.0円","1,066.0円",100株,9.35倍,0.68倍,1.80倍,"98,000株","23,037百万円","21,611千株",2020-03-01T18:27:07,4931
5699  東証JASDAQ（スタンダード）,イボキン,"1,802.0",株価(02/28),業種鉄鋼,"1,821.0円","1,943.0円","1,783.0円",100株,10.96倍,0.49倍,1.08倍,"55,400株","3,087百万円","1,713千株",2020-03-01T18:27:09,5699
5704  東証マザーズ,ＪＭＣ,721.0,株価(02/28),業種非鉄金属,751.0円,774.0円,714.0円,100株,23.09倍,1.35倍,1.68倍,"133,500株","3,808百万円","5,282千株",2020-03-01T18:27:11,5704
6175  東証１部,ネットマーケティング,648.0,株価(02/28),業種サービス業,679.0円,696.0円,644.0円,100株,33.24倍,0.68倍,4.18倍,"888,800株","9,586百万円","14,793千株",2020-03-01T18:27:12,6175
